"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "NS.2108.003.UDP0201_i7...UDP0201_i5.RNA_0006_5598_Tumeur_R1" "NS.2108.003.UDP0202_i7...UDP0202_i5.RNA_0009_5268_Sain_R1" "NS.2108.003.UDP0203_i7...UDP0203_i5.RNA_0010_5268_Tumeur_R1" "NS.2108.003.UDP0204_i7...UDP0204_i5.RNA_0011_5402_Sain_R1" "NS.2108.003.UDP0205_i7...UDP0205_i5.RNA_0012_5402_Tumeur_R1" "NS.2108.003.UDP0206_i7...UDP0206_i5.RNA_0017_5487_Sain_R1" "NS.2108.003.UDP0207_i7...UDP0207_i5.RNA_0018_5487_Tumeur_R1"
"RERE" 0 0 0 0 0 0 0 0
"RERE-AS1" 0 0 0 0 0 0 0 0
"ENO1" 0 0 0 0 0 0 0 0
"MIR6728" 0 0 0 0 0 0 0 0
"ENO1-AS1" 0 0 0 0 0 0 0 0
"CA6" 0 0 0 0 0 0 0 0
"SLC2A5" 0 0 0 0 0 0 0 0
"GPR157" 0 0 0 0 0 0 0 0
"MIR34AHG" 0 0 0 0 0 0 0 0
"LNCTAM34A" 0 0 0 0 0 0 0 0
"H6PD" 0 0 0 0 0 0 0 0
"SPSB1" 0 0 0 0 0 0 0 0
"LINC02606" 0 0 0 0 0 0 0 0
"SLC25A33" 0 0 0 0 0 0 0 0
"TMEM201" 0 0 0 0 0 0 0 0
"PIK3CD" 0 0 0 0 0 0 0 0
"PIK3CD-AS1" 0 0 0 0 0 0 0 0
"PIK3CD-AS2" 0 0 0 0 0 0 0 0
"CLSTN1" 0 0 0 0 0 0 0 0
"CTNNBIP1" 0 0 0 0 0 0 0 0
"LZIC" 0 0 0 0 0 0 0 0
"NMNAT1" 0 0 0 0 0 0 0 0
"RN7SKP269" 0 0 0 0 0 0 0 0
"TMEM274P" 0 0 0 0 0 0 0 0
"RBP7" 0 0 0 0 0 0 0 0
"UBE4B" 0 0 0 0 0 0 0 0
"PGAM1P11" 0 0 0 0 0 0 0 0
"RNU6-828P" 0 0 0 0 0 0 0 0
"KIF1B" 0 0 0 0 0 0 0 0
"RN7SL731P" 0 0 0 0 0 0 0 0
"PGD" 0 0 0 0 0 0 0 0
"CENPS-CORT" 0 0 0 0 0 0 0 0
"CENPS" 0 0 0 0 0 0 0 0
"CORT" 0 0 0 0 0 0 0 0
"DFFA" 0 0 0 0 0 0 0 0
"PEX14" 0 0 0 0 0 0 0 0
"RN7SL614P" 0 0 0 0 0 0 0 0
"CASZ1" 0 0 0 0 0 0 0 0
"C1orf127" 0 0 0 0 0 0 0 0
"CFL1P6" 0 0 0 0 0 0 0 0
"TARDBP" 0 0 0 0 0 0 0 0
"MASP2" 0 0 0 0 0 0 0 0
"SRM" 0 0 0 0 0 0 0 0
"EXOSC10" 0 0 0 0 0 0 0 0
"EXOSC10-AS1" 0 0 0 0 0 0 0 0
"MTOR" 0 0 0 0 0 0 0 0
"ANGPTL7" 0 0 0 0 0 0 0 0
"UBIAD1" 0 0 0 0 0 0 0 0
"UBE2V2P3" 0 0 0 0 0 0 0 0
"DISP3" 0 0 0 0 0 0 0 0
"FBXO2" 0 0 0 0 0 0 0 0
"FBXO44" 0 0 0 0 0 0 0 0
"MAD2L2" 0 0 0 0 0 0 0 0
"FBXO6" 0 0 0 0 0 0 0 0
"DRAXIN" 0 0 0 0 0 0 0 0
"AGTRAP" 0 0 0 0 0 0 0 0
"C1orf167" 0 0 0 0 0 0 0 0
"MTHFR" 0 0 0 0 0 0 0 0
"CLCN6" 0 0 0 0 0 0 0 0
"NPPA" 0 0 0 0 0 0 0 0
"KIAA2013" 0 0 0 0 0 0 0 0
"PLOD1" 0 0 0 0 0 0 0 0
"MFN2" 0 0 0 0 0 0 0 0
"MIIP" 0 0 0 0 0 0 0 0
"TNFRSF8" 0 0 0 0 0 0 0 0
"TNFRSF1B" 0 0 0 0 0 0 0 0
"VPS13D" 0 0 0 0 0 0 0 0
"SNORA59A" 0 0 0 0 0 0 0 0
"LINC02766" 0 0 0 0 0 0 0 0
"DHRS3" 0 0 0 0 0 0 0 0
"RNU6ATAC18P" 0 0 0 0 0 0 0 0
"MIR6730" 0 0 0 0 0 0 0 0
"CFAP107" 0 0 0 0 0 0 0 0
"PDPN" 0 0 0 0 0 0 0 0
"PRDM2" 0 0 0 0 0 0 0 0
"KAZN" 0 0 0 0 0 0 0 0
"KAZN-AS1" 0 0 0 0 0 0 0 0
"TMEM51-AS1" 0 0 0 0 0 0 0 0
"TMEM51" 0 0 0 0 0 0 0 0
"ZBTB2P1" 0 0 0 0 0 0 0 0
"FHAD1" 0 0 0 0 0 0 0 0
"FHAD1-AS1" 0 0 0 0 0 0 0 0
"EFHD2-AS1" 0 0 0 0 0 0 0 0
"EFHD2" 0 0 0 0 0 0 0 0
"CTRC" 0 0 0 0 0 0 0 0
"CELA2A" 0 0 0 0 0 0 0 0
"CELA2B" 0 0 0 0 0 0 0 0
"CASP9" 0 0 0 0 0 0 0 0
"DNAJC16" 0 0 0 0 0 0 0 0
"AGMAT" 0 0 0 0 0 0 0 0
"CHCHD2P6" 0 0 0 0 0 0 0 0
"DDI2" 0 0 0 0 0 0 0 0
"RSC1A1" 0 0 0 0 0 0 0 0
"PLEKHM2" 0 0 0 0 0 0 0 0
"SLC25A34" 0 0 0 0 0 0 0 0
"SLC25A34-AS1" 0 0 0 0 0 0 0 0
"TMEM82" 0 0 0 0 0 0 0 0
"FBLIM1" 0 0 0 0 0 0 0 0
